,「【必要会場面積／必要人数リスト】アクティビティ＆フード」を参照して作成しております　↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,https://docs.google.com/spreadsheets/d/1Et1sxFLvO9ufXjWF7n6aq_GvciMup-ikNKT6WOo7ijI/edit?gid=1965560400#gid=1965560400,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"【注意】
こちらの各アサイン人数は絶対ではございません。
お客様のご要望や状況によって人数は増減致します。
あくまで目安としてご利用いただければと思います。

こちらに記載しているコンテンツは全てリアルイベントのアサイン人数です。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"【コピペ方法】
下記の部分をコピーしてください！
ペーストする際もしっかりマスに合わせてペーストをお願いします。",,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10,,,,,,,,,,10,,,,,,,,,,10,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
先が見えない防災訓練からの脱出,参加人数：～49名　（～9チーム想定）,,,,,,,,,,参加人数：50～99名　（10～17チーム想定）,,,,,,,,,,参加人数：100～150名　（18～24チーム想定）,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ
,1,,,,D,,,,,,1,,,,D,,,,,,1,,,,D,,,,
,2,,,,MC,,講師役,,,,2,,,,MC,,講師役,,,,2,,,,MC,,講師役,,
,3,,,,OP,,,,,,3,,,,OP,,,,,,3,,,,OP,,,,
,4,,,,FC,,金庫チェッカー,,,,4,,,,FC,,金庫チェッカー,,,,4,,,,FC,,金庫チェッカー,,
,5,,,,FC,,ガレキチェッカー,,,,5,,,,FC,,ガレキチェッカー,,,,5,,,,FC,,ガレキチェッカー,,
,6,,,,FC,5,巡回,,,,6,,,,FC,5,巡回,,,,6,,,,FC,5,巡回,,
,7,,,,FC,4,巡回,,,,7,,,,FC,5,巡回,,,,7,,,,FC,5,巡回,,
,8,,,,,,,,,,8,,,,FC,5,巡回,,,,8,,,,FC,5,巡回,,
,9,,,,,,,,,,9,,,,,,,,,,9,,,,FC,5,巡回,,
,10,,,,,,,,,,10,,,,,,,,,,10,,,,FC,4,巡回,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
混乱する捜査会議からの脱出,参加人数：～49名　（～9チーム想定）,,,,,,,,,,参加人数：50～99名　（10～17チーム想定）,,,,,,,,,,参加人数：100～150名　（18～24チーム想定）,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ
,1,,,,D,,,,,,1,,,,D,,,,,,1,,,,D,,,,
,2,,,,MC,,警部,,,,2,,,,MC,,警部,,,,2,,,,MC,,警部,,
,3,,,,MC,,館長,,,,3,,,,MC,,館長,,,,3,,,,MC,,館長,,
,4,,,,OP,,天の声,,,,4,,,,OP,,天の声,,,,4,,,,OP,,天の声,,
,5,,,,FC,,巡査長（採点）,,,,5,,,,FC,,巡査長（採点）,,,,5,,,,FC,,巡査長（採点）,,
,6,,,,FC,,巡査長（採点）,,,,6,,,,FC,,巡査長（採点）,,,,6,,,,FC,,巡査長（採点）,,
,7,,,,FC,5,巡回,,,,7,,,,FC,,巡査長（採点）,,,,7,,,,FC,,巡査長（採点）,,
,8,,,,FC,4,巡回,,,,8,,,,FC,5,巡回,,,,8,,,,FC,,巡査長（採点）,,
,9,,,,,,,,,,9,,,,FC,5,巡回,,,,9,,,,FC,5,巡回,,
,10,,,,,,,,,,10,,,,FC,5,巡回,,,,10,,,,FC,5,巡回,,
,,,,,,,,,,,,,,,,,,,,,11,,,,FC,5,巡回,,
,,,,,,,,,,,,,,,,,,,,,12,,,,FC,5,巡回,,
,,,,,,,,,,,,,,,,,,,,,13,,,,FC,4,巡回,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ミッションスクランブル,参加人数：～49名　（～9チーム想定）,,,,,,,,,,参加人数：50～99名　（10～17チーム想定）,,,,,,,,,,参加人数：100～150名　（18～24チーム想定）,,,,,,,,
,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ,,NO,名前,,,P,巡回,備考,,サイズ
,1,,,,D,,,,,,1,,,,D,,,,,,1,,,,D,,,,
,2,,,,MC,,先輩スパイ,,,,2,,,,MC,,先輩スパイ,,,,2,,,,MC,,先輩スパイ,,
,3,,,,OP,,照合班（採点）,,,,3,,,,OP,,照合班（採点）,,,,3,,,,OP,,照合班（採点）,,
,4,,,,FC,,照合班（採点）,,,,4,,,,FC,,照合班（採点）,,,,4,,,,FC,,照合班（採点）,,
,5,,,,FC,,認証エリア（ミッション）,,,,5,,,,FC,,照合班（採点）,,,,5,,,,FC,,照合班（採点）,,
,6,,,,FC,5,巡回,,,,6,,,,FC,,認証エリア（ミッション）,,,,6,,,,FC,,照合班（採点）,,
,7,,,,FC,4,巡回,,,,7,,,,FC,,認証エリア（ミッション）,,,,7,,,,FC,,認証エリア（ミッション）,,
,8,,,,,,,,,,8,,,,FC,5,巡回,,,,8,,,,FC,,認証エリア（ミッション）,,
,9,,,,,,,,,,9,,,,FC,5,巡回,,,,9,,,,FC,,認証エリア（ミッション）,,
,10,,,,,,,,,,10,,,,FC,5,巡回,,,,10,,,,FC,5,巡回,,
